TagID,Timestamp,accX,accY,accZ,Temp. (?C)
Pic2Jan_S1,03/01/2024 01:08:16.000,0.594,-0.328,0.703,50
Pic2Jan_S1,03/01/2024 01:08:16.040,0.563,-0.328,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:16.080,0.563,-0.313,0.688,NA
Pic2Jan_S1,03/01/2024 01:08:16.120,0.61,-0.328,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:16.160,0.594,-0.313,0.688,NA
Pic2Jan_S1,03/01/2024 01:08:16.200,0.578,-0.328,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:16.240,0.578,-0.328,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:16.280,0.594,-0.328,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:16.320,0.61,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:16.360,0.594,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:16.400,0.61,-0.328,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:16.440,0.578,-0.328,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:16.480,0.594,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:16.520,0.61,-0.328,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:16.560,0.578,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:16.600,0.594,-0.328,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:16.640,0.61,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:16.680,0.61,-0.328,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:16.720,0.61,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:16.760,0.563,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:16.800,0.578,-0.328,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:16.840,0.594,-0.313,0.735,NA
Pic2Jan_S1,03/01/2024 01:08:16.880,0.578,-0.297,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:16.920,0.594,-0.313,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:16.960,0.594,-0.328,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:17.000,0.594,-0.313,0.735,NA
Pic2Jan_S1,03/01/2024 01:08:17.040,0.594,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:17.080,0.578,-0.328,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:17.120,0.61,-0.328,0.688,NA
Pic2Jan_S1,03/01/2024 01:08:17.160,0.594,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:17.200,0.61,-0.313,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:17.240,0.594,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:17.280,0.594,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:17.320,0.578,-0.313,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:17.360,0.61,-0.313,0.735,NA
Pic2Jan_S1,03/01/2024 01:08:17.400,0.61,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:17.440,0.594,-0.313,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:17.480,0.578,-0.313,0.735,NA
Pic2Jan_S1,03/01/2024 01:08:17.520,0.594,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:17.560,0.594,-0.328,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:17.600,0.594,-0.328,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:17.640,0.61,-0.313,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:17.680,0.594,-0.313,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:17.720,0.578,-0.313,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:17.760,0.578,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:17.800,0.578,-0.313,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:17.840,0.578,-0.297,0.735,NA
Pic2Jan_S1,03/01/2024 01:08:17.880,0.578,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:17.920,0.61,-0.313,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:17.960,0.61,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:18.000,0.61,-0.297,0.688,NA
Pic2Jan_S1,03/01/2024 01:08:18.040,0.594,-0.313,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:18.080,0.591,-0.327,0.705,NA
Pic2Jan_S1,03/01/2024 01:08:18.120,0.563,-0.313,0.721,NA
Pic2Jan_S1,03/01/2024 01:08:18.160,0.563,-0.315,0.732,NA
Pic2Jan_S1,03/01/2024 01:08:18.200,0.569,-0.328,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:18.240,0.594,-0.324,0.715,NA
Pic2Jan_S1,03/01/2024 01:08:18.280,0.594,-0.313,0.712,NA
Pic2Jan_S1,03/01/2024 01:08:18.320,0.594,-0.313,0.735,NA
Pic2Jan_S1,03/01/2024 01:08:18.360,0.588,-0.313,0.729,NA
Pic2Jan_S1,03/01/2024 01:08:18.400,0.578,-0.313,0.725,NA
Pic2Jan_S1,03/01/2024 01:08:18.440,0.599,-0.319,0.721,NA
Pic2Jan_S1,03/01/2024 01:08:18.480,0.618,-0.328,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:18.520,0.601,-0.32,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:18.560,0.594,-0.313,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:18.600,0.585,-0.313,0.722,NA
Pic2Jan_S1,03/01/2024 01:08:18.640,0.578,-0.313,0.725,NA
Pic2Jan_S1,03/01/2024 01:08:18.680,0.589,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:18.720,0.594,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:18.760,0.606,-0.324,0.707,NA
Pic2Jan_S1,03/01/2024 01:08:18.800,0.585,-0.316,0.716,NA
Pic2Jan_S1,03/01/2024 01:08:18.840,0.591,-0.326,0.706,NA
Pic2Jan_S1,03/01/2024 01:08:18.880,0.58,-0.314,0.717,NA
Pic2Jan_S1,03/01/2024 01:08:18.920,0.578,-0.327,0.705,NA
Pic2Jan_S1,03/01/2024 01:08:18.960,0.594,-0.313,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:19.000,0.594,-0.328,0.735,NA
Pic2Jan_S1,03/01/2024 01:08:19.040,0.594,-0.344,0.688,NA
Pic2Jan_S1,03/01/2024 01:08:19.080,0.594,-0.297,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:19.120,0.594,-0.328,0.735,NA
Pic2Jan_S1,03/01/2024 01:08:19.160,0.594,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:19.200,0.563,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:19.240,0.61,-0.328,0.735,NA
Pic2Jan_S1,03/01/2024 01:08:19.280,0.61,-0.313,0.672,NA
Pic2Jan_S1,03/01/2024 01:08:19.320,0.641,-0.313,0.688,NA
Pic2Jan_S1,03/01/2024 01:08:19.360,0.594,-0.313,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:19.400,0.578,-0.328,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:19.440,0.594,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:19.480,0.578,-0.328,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:19.520,0.61,-0.313,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:19.560,0.594,-0.313,0.719,NA
Pic2Jan_S1,03/01/2024 01:08:19.600,0.594,-0.313,0.703,NA
Pic2Jan_S1,03/01/2024 01:08:19.640,0.578,-0.313,0.735,NA
Pic2Jan_S1,03/01/2024 01:08:19.680,0.594,-0.313,0.719,NA
